id,app,name,applied
1,contenttypes,0001_initial,2018-10-13 13:50:21.139041
2,contenttypes,0002_remove_content_type_name,2018-10-13 13:50:21.191008
3,auth,0001_initial,2018-10-13 13:50:21.275957
4,auth,0002_alter_permission_name_max_length,2018-10-13 13:50:21.338918
5,auth,0003_alter_user_email_max_length,2018-10-13 13:50:21.379894
6,auth,0004_alter_user_username_opts,2018-10-13 13:50:21.422866
7,auth,0005_alter_user_last_login_null,2018-10-13 13:50:21.457072
8,auth,0006_require_contenttypes_0002,2018-10-13 13:50:21.467066
9,accounts,0001_initial,2018-10-13 13:50:21.534024
10,admin,0001_initial,2018-10-13 13:50:21.588856
11,sites,0001_initial,2018-10-13 13:50:21.629449
12,flatpages,0001_initial,2018-10-13 13:50:21.681416
13,ipn,0001_initial,2018-10-13 13:50:21.753834
14,ipn,0002_paypalipn_mp_id,2018-10-13 13:50:21.868835
15,ipn,0003_auto_20141117_1647,2018-10-13 13:50:21.987286
16,ipn,0004_auto_20150612_1826,2018-10-13 13:50:25.145342
17,ipn,0005_auto_20151217_0948,2018-10-13 13:50:25.372608
18,ipn,0006_auto_20160108_1112,2018-10-13 13:50:25.575482
19,ipn,0007_auto_20160219_1135,2018-10-13 13:50:25.911132
20,magazines,0001_initial,2018-10-13 13:50:26.415821
21,threads,0001_initial,2018-10-13 13:50:27.709027
22,polls,0001_initial,2018-10-13 13:50:28.007841
23,products,0001_initial,2018-10-13 13:50:28.090790
24,sessions,0001_initial,2018-10-13 13:55:47.148065
